symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,exit_reason,gross_pnl,costs,net_pnl,capital_after
NSE:TCS-EQ,short,2023-03-27T15:27:00+05:30,3125.0,2023-03-28T09:15:00+05:30,3131.25,1,stoploss,-6.25,51.84,-58.09,4693.5252
NSE:TITAN-EQ,short,2023-03-28T10:00:00+05:30,2496.8,2023-03-28T10:12:00+05:30,2501.7936,1,stoploss,-4.9936,50.9073,-55.9009,4637.6243
NSE:ASIANPAINT-EQ,short,2023-03-28T10:18:00+05:30,2782.55,2023-03-28T10:30:00+05:30,2771.4198,1,target,11.1302,51.32,-40.1898,4597.4346
NSE:WIPRO-EQ,short,2023-03-28T10:03:00+05:30,181.0,2023-03-28T10:33:00+05:30,180.276,25,target,18.1,53.9,-35.8,4657.7252
NSE:SBIN-EQ,short,2023-03-28T10:33:00+05:30,508.45,2023-03-28T10:42:00+05:30,509.4669,9,stoploss,-9.1521,53.9945,-63.1466,4594.5786
NSE:LT-EQ,short,2023-03-28T10:33:00+05:30,2136.7,2023-03-28T10:48:00+05:30,2140.9734,2,stoploss,-8.5468,53.5452,-62.092,4595.6333
NSE:HDFCBANK-EQ,short,2023-03-28T10:48:00+05:30,783.9,2023-03-28T10:51:00+05:30,785.4678,5,stoploss,-7.839,53.0197,-60.8587,4534.7746
NSE:KOTAKBANK-EQ,short,2023-03-28T10:48:00+05:30,340.68,2023-03-28T10:57:00+05:30,339.3173,13,target,17.7154,53.7576,-36.0422,4559.5911
NSE:LT-EQ,short,2023-03-28T10:51:00+05:30,2141.05,2023-03-28T11:00:00+05:30,2132.4858,2,target,17.1284,53.5403,-36.4119,4498.3627
NSE:AXISBANK-EQ,short,2023-03-28T10:51:00+05:30,830.1,2023-03-28T11:03:00+05:30,831.7602,5,stoploss,-8.301,53.3627,-61.6637,4473.1109
NSE:SBIN-EQ,short,2023-03-28T10:57:00+05:30,507.9,2023-03-28T11:06:00+05:30,508.9158,8,stoploss,-8.1264,53.2331,-61.3595,4498.2316
NSE:BAJFINANCE-EQ,short,2023-03-28T10:51:00+05:30,558.22,2023-03-28T11:15:00+05:30,559.3364,8,stoploss,-8.9315,53.8308,-62.7623,4472.0123
NSE:HDFCBANK-EQ,short,2023-03-28T11:00:00+05:30,784.35,2023-03-28T11:15:00+05:30,785.9187,5,stoploss,-7.8435,53.023,-60.8665,4437.4962
